geom,rrdistance,parid,luc_desc,taxdist_desc
0106000020BC080000010000000103000000010000000700000080976E1241472141405EBA1107C0394180BE9FBA38472141400AD7C305C0394180BE9FAADD46214180E92631F7BF3941C0C876BED6462141C09DEF6FAAC039412004569E35472141C0749388B2C0394100D7A3703A47214160E7FBF1B2C0394180976E1241472141405EBA1107C03941,16167.659166472082,8010210,Vacant Residential,DELAND
0106000020BC080000010000000103000000010000000600000080C2F5B878462141A0999909E7BF3941205A647B1946214160E3A5CBD7BF394120B072D8AE452141208716617EC039410054E365FC452141C0CAA1A594C03941205839240846214120B072E896C0394180C2F5B878462141A0999909E7BF3941,16019.974027436401,8010226,Vacant Residential,DELAND
0106000020BC080000010000000103000000010000000500000020DBF9BE57432141E04D62C076BE394160643B0F5542214160BC74B369BE3941E07C3F054B42214160E5D0729BBE3941C0F3FDB44D432141C076BE7FA8BE394120DBF9BE57432141E04D62C076BE3941,15588.935590661114,8010262,Vacant Residential,DELAND
0106000020BC08000001000000010300000001000000050000006012830087452141C0F3FD8434BE39416091ED0C83442141205C8F0232BE3941E051B81E81442141E026310064BE394180976E128545214180BE9F8266BE39416012830087452141C0F3FD8434BE3941,15872.319180950022,8010271,Vacant Residential,DELAND
0106000020BC080000010000000103000000010000000D000000A09BC460E346214160BA494463BF3941A01A2F6DDF452141E022DBC160BF394160E5D0F2DD452141405EBA0987BF3941D325FB6EDE452141A22702078BBF394102B50F2FE0452141751058ED8EBF394150C19A27E3452141E5EB37A392BF39411C022C45E7452141BDA25A1096BF3941EDE7D56CEC452141200D551E99BF394172CDDD7CF24521413CA22AB99BBF394192A8984DF9452141173ED0CF9DBF394180976EB200462141E0A59B549FBF3941200456AEDF462141E0CEF703C3BF3941A09BC460E346214160BA494463BF3941,16044.99319856102,8010296,Vacant Residential,DELAND
0106000020BC080000010000000103000000010000000500000060E3A51B99192441803D0A1F1AA63A41E0D0229BE1192441601283082BA63A4120B07248F91924416039B4A811A63A41C04B37C9B019244160643BBF00A63A4160E3A51B99192441803D0A1F1AA63A41,483.9977573327113,8010309,"Warehousing, Distribution",PORT ORANGE
0106000020BC0800000100000001030000000100000006000000A01C5AA416BF2241A018049686223B41C0749388A7BE22410000005085223B416039B458A1BE224120DBF9460C233B41E0A59B74D1BE2241203108D40C233B4120B0725803BF2241C07493000E233B41A01C5AA416BF2241A018049686223B41,28018.365729210134,8010349,Vacant Residential,DAYTONA BEACH
0106000020BC0800000100000001030000000100000006000000A0F1D2ADAEBE2241C04B376924243B4160643BBFAABD2241A0EFA76E21243B41600E2D52A9BD2241C0F7538B40243B41E051B8FEA7BD22418095436B53243B4140B6F33DACBE224160E3A59359243B41A0F1D2ADAEBE2241C04B376924243B41,27917.34833248185,8010359,Vacant Residential,DAYTONA BEACH
0106000020BC080000010000000103000000010000000600000080BE9FAA91BE2241A0C64B87CD243B4100D34DB291BD2241E022DBB9B6243B41E96B572288BD2241E85A6343CF243B41C0C876FE7CBD2241600E2DA2E7243B4140DF4F7D79BE2241806CE7A306253B4180BE9FAA91BE2241A0C64B87CD243B41,27868.364811861695,8010362,Vacant Residential,DAYTONA BEACH
0106000020BC08000001000000010300000001000000070000004008AC7C12BD2241601058D1ED243B41C0CCCCAC17BC2241E04D6290CB243B410054E37509BC224100560E95E3243B41E0CEF723FABB2241E0FBA999FB243B416039B4D8F1BC2241600E2D1A23253B41A047E12A01BD2241806891150B253B414008AC7C12BD2241601058D1ED243B41,28035.08249314568,8010374,Vacant Residential,DAYTONA BEACH
0106000020BC0800000100000001030000000100000007000000A0EFA706B7B9224100AC1C22FB223B416066663639B92241E051B8CE8C223B4100D5788918B92241E04F8D1F96223B41D6013227EFB822417C92EBF8A2223B4100295CCFC7B82241608FC255B1223B418095432B65B922418016D90615233B41A0EFA706B7B9224100AC1C22FB223B41,28640.452147277483,8010383,Vacant Residential,DAYTONA BEACH
0106000020BC080000010000000103000000010000000500000000D34DE2F3B822416091EDA482243B418095439BEAB82241809318DC50243B41600E2DB2EDB7224160BA499C5C243B41C020B0F2F6B72241804160658E243B4100D34DE2F3B822416091EDA482243B41,28566.989205020243,8010391,Vacant Residential,DAYTONA BEACH
0106000020BC080000010000000103000000010000000C00000080BE9F9AB1B82241C09F1ABFB3263B410054E395BAB722410054E3E56A263B41E0CEF7A39FB72241E07C3FBD81263B410DD8E4329CB72241F004114385263B4103EDA3E699B722414584AB0289263B4186C8ACCD98B72241802D75E48C263B41436AE8EE98B72241A6F8FCCF90263B41F39485499AB72241558694AC94263B41C0F3FDD49CB722412085EB6198263B41C0F75393A0B72241E051B8469D263B41E07A14FE9DB82241A06E1203E8263B4180BE9F9AB1B82241C09F1ABFB3263B41,28341.306273150516,8010402,Vacant Residential,DAYTONA BEACH
0106000020BC0800000100000001030000000100000005000000E04F8D9741B12241A01C5A44C5213B41A09999990DB12241208716598F213B41002DB26D23B02241809318CCC7213B4160E5D04258B0224120AE4789FE213B41E04F8D9741B12241A01C5A44C5213B41,29753.556724054546,8010431,Vacant Residential,DAYTONA BEACH
0106000020BC0800000100000001030000000100000005000000C076BE2FDBA9224160B81E8DE71E3B4100295C6FF7A822418095430B9F1E3B41203108FCB6A82241C076BEA7D11E3B41C0F528BC9AA92241E0FBA9291A1F3B41C076BE2FDBA9224160B81E8DE71E3B41,30921.1730570441,8010474,Vacant Residential,DAYTONA BEACH
0106000020BC0800000100000001030000000100000007000000408B6C6721B62241E0A59BD4EA1C3B41E078E946F0B522416039B400CA1C3B41E0A370DDE1B5224160B81E65CF1C3B41A099993977B5224180BE9F22881C3B414008AC2C3BB522412085EB999E1C3B4180E926F1D6B5224180EB51B0061D3B41408B6C6721B62241E0A59BD4EA1C3B41,29720.92905269601,8010511,Vacant Residential,DAYTONA BEACH
0106000020BC0800000100000001030000000100000005000000E022DBC926B32241408B6C4FA61F3B41002DB2CD48B2224160666676591F3B41C0C8767E04B22241A047E1CA8A1F3B412083C07AE2B22241806CE7A3D71F3B41E022DBC926B32241408B6C4FA61F3B41,29763.3031181533,8010555,Vacant Residential,DAYTONA BEACH
0106000020BC08000001000000010300000001000000070000006012831072B62241601058A104203B4180C0CA61FBB52241C09F1A5F8B1F3B41E0A3708DA6B5224100295CAFA21F3B41403333D308B6224160E7FBD1F21F3B41C01E852B18B622412006811DEE1F3B41C0CAA12543B6224180C2F52811203B416012831072B62241601058A104203B41,29341.675259153457,8010578,Vacant Residential,DAYTONA BEACH
