rrdistance,parid,luc_desc,taxdist_desc
16167.65917,8010210,Vacant Residential,DELAND
16019.97403,8010226,Vacant Residential,DELAND
15588.93559,8010262,Vacant Residential,DELAND
15872.31918,8010271,Vacant Residential,DELAND
16044.9932,8010296,Vacant Residential,DELAND
483.9977573,8010309,"Warehousing, Distribution",PORT ORANGE
28018.36573,8010349,Vacant Residential,DAYTONA BEACH
27917.34833,8010359,Vacant Residential,DAYTONA BEACH
27868.36481,8010362,Vacant Residential,DAYTONA BEACH
28035.08249,8010374,Vacant Residential,DAYTONA BEACH
28640.45215,8010383,Vacant Residential,DAYTONA BEACH
28566.98921,8010391,Vacant Residential,DAYTONA BEACH
28341.30627,8010402,Vacant Residential,DAYTONA BEACH
29753.55672,8010431,Vacant Residential,DAYTONA BEACH
30921.17306,8010474,Vacant Residential,DAYTONA BEACH
29720.92905,8010511,Vacant Residential,DAYTONA BEACH
29763.30312,8010555,Vacant Residential,DAYTONA BEACH
29341.67526,8010578,Vacant Residential,DAYTONA BEACH
29132.35101,8010584,Vacant Residential,DAYTONA BEACH
29224.97291,8010588,Vacant Residential,DAYTONA BEACH
29246.09391,8010609,Vacant Residential,DAYTONA BEACH
28363.3307,8010683,Vacant Residential,DAYTONA BEACH
28694.59942,8010702,Vacant Residential,DAYTONA BEACH
28746.06556,8010769,Vacant Residential,DAYTONA BEACH
29158.10022,8010804,Vacant Residential,DAYTONA BEACH
28972.52323,8010826,Vacant Residential,DAYTONA BEACH
28887.76627,8010841,Vacant Residential,DAYTONA BEACH
29254.53453,8010864,Vacant Residential,DAYTONA BEACH
30018.20409,8010899,Vacant Residential,DAYTONA BEACH
29814.57341,8010907,Vacant Residential,DAYTONA BEACH
29425.4734,8010922,Vacant Residential,DAYTONA BEACH
29721.36711,8010934,Vacant Residential,DAYTONA BEACH
29320.90898,8010975,Vacant Residential,DAYTONA BEACH
7732.283194,8011097,Vacant Residential,EDGEWATER
7998.800786,8011113,Vacant Residential,EDGEWATER
7898.849497,8011115,Vacant Residential,EDGEWATER
25458.60307,8011181,Vacant Residential,PORT ORANGE
1238.690499,8011302,Vacant Residential,DELAND
1168.137222,8011304,Vacant Residential,DELAND
1274.984115,8011331,Vacant Residential,DELAND
103.9792678,8011373,Vacant Residential,ORMOND BEACH
4506.554376,8011417,Vacant Residential,DELAND
3912.837389,8011430,Vacant Residential,DELAND
4713.386632,8011468,Vacant Residential,DELAND
5454.099763,8011510,Vacant Residential,DELAND
14712.82134,4910778,Single Family,PORT ORANGE
4497.60331,8011534,Vacant Residential,DELAND
4058.806334,8011558,Vacant Residential,DELAND
5071.12592,8011573,Vacant Residential,DELAND
5059.032931,8011578,Vacant Residential,DELAND
4498.560235,8011588,Vacant Residential,DELAND
4017.281575,8011595,Vacant Residential,DELAND
3652.147176,8011602,Vacant Residential,DELAND
8287.157054,8011728,Residential Common Elements/Areas,DAYTONA BEACH SHORES
22577.70317,8011825,Residential Common Elements/Areas,DELAND
17635.66583,8011859,Residential Common Elements/Areas,NEW SMYRNA BEACH
18069.27794,8011874,Vacant Residential,NEW SMYRNA BEACH
17996.45642,8011885,Vacant Residential,NEW SMYRNA BEACH
17917.26522,8011895,Vacant Residential,NEW SMYRNA BEACH
17864.98644,8011898,Vacant Residential,NEW SMYRNA BEACH
17698.47574,8011905,Vacant Residential,NEW SMYRNA BEACH
17163.81847,8011922,Vacant Residential,NEW SMYRNA BEACH
17778.36742,8011951,Vacant Residential,NEW SMYRNA BEACH
17795.08497,8011993,Vacant Residential,NEW SMYRNA BEACH
6618.006263,2000252,Single Family,UNINCORPORATED - WESTSIDE
19813.98845,2000384,Vacant Governmental,UNINCORPORATED - WESTSIDE
12786.64451,2000724,Colleges,UNINCORPORATED - WESTSIDE
16016.52014,2001585,Vacant Residential,UNINCORPORATED - WESTSIDE
